Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature [C],Average Unmet Cooling Setpoint Difference [C],Indoor Relative Humidity [%],Equipment Electric Power [kWh],DHW Heating [kWh],Cooling Load [kWh],Heating Load [kWh],Solar Generation [W/kW]
7,24,7,0,,,,1.01E-07,0,0,0,0
8,1,1,0,,,,1.02E-07,0,0,0,0
8,2,1,0,,,,1.01E-07,0,0,0,0
8,3,1,0,,,,1.01E-07,0,0,0,0
8,4,1,0,,,,1.02E-07,0,0,0,0
8,5,1,0,,,,9.94E-08,0,0,0,0
8,6,1,0,,,,1.04E-07,0,0,0,6.820833333
8,7,1,0,,,,1.01E-07,0,0,0,34.175
8,8,1,0,,,,0.405933368,0,0,0,110.1166667
8,9,1,0,,,,0.129316762,0,0,0,249.8625
8,10,1,0,,,,0.540683361,0,0,0,403.3666667
8,11,1,0,,,,0.6703,0,0,0,535.8666667
8,12,1,0,,,,2.125733333,0,0,0,630.3375
8,13,1,0,,,,2.945333333,0,0,0,679.1583333
8,14,1,0,,,,1.441833333,0,0,0,684.6
8,15,1,0,,,,1.1886,0,0,0,650.6208333
8,16,1,0,,,,0.484533333,0,0,0,557.0208333
8,17,1,0,,,,0.018416762,0,0,0,418.7625
8,18,1,0,,,,1.16E-07,0,0,0,219.9333333
8,19,1,0,,,,9.95E-08,0,0,0,11.4
8,20,1,0,,,,1.01E-07,0,0,0,0
8,21,1,0,,,,1.00E-07,0,0,0,0
8,22,1,0,,,,1.00E-07,0,0,0,0
8,23,1,0,,,,1.02E-07,0,0,0,0
8,24,1,0,,,,1.03E-07,0,0,0,0
8,1,2,0,,,,9.99E-08,0,0,0,0
8,2,2,0,,,,9.99E-08,0,0,0,0
8,3,2,0,,,,9.97E-08,0,0,0,0
8,4,2,0,,,,9.99E-08,0,0,0,0
8,5,2,0,,,,9.97E-08,0,0,0,0
8,6,2,0,,,,0.000166761,0,0,0,6.870833333
8,7,2,0,,,,0.003983418,0,0,0,36.81666667
